date,value
9/22/2014 15:43:20,425
9/22/2014 13:26:54,425
9/22/2014 13:26:12,425
9/22/2014 13:01:05,426
9/22/2014 12:01:42,424
9/22/2014 11:07:50,430
9/22/2014 9:51:32,425
9/22/2014 9:50:51,424
9/22/2014 6:12:34,428
9/22/2014 6:09:48,406
9/22/2014 6:09:08,401
9/22/2014 6:07:06,427
9/22/2014 2:02:11,425
9/22/2014 2:01:30,425
9/22/2014 2:00:49,425
9/21/2014 20:03:35,425
9/21/2014 18:26:32,425
9/21/2014 16:51:36,425
9/21/2014 9:07:49,427
9/21/2014 9:07:08,427
9/21/2014 1:47:04,426
9/20/2014 22:05:42,405
9/20/2014 21:33:45,425
9/20/2014 21:13:13,425
9/20/2014 13:15:57,425
9/20/2014 7:17:30,407
9/20/2014 6:03:11,429
9/19/2014 23:44:35,425
9/19/2014 23:42:31,425
9/19/2014 23:41:51,425
9/19/2014 23:34:59,425
9/19/2014 23:33:39,426
9/19/2014 23:07:47,427
9/19/2014 23:07:06,435
9/19/2014 23:06:25,426
9/19/2014 23:05:43,424
9/19/2014 22:45:59,425
9/19/2014 22:37:50,425
9/19/2014 22:36:29,425
9/19/2014 22:21:32,425
9/19/2014 22:20:51,424
9/19/2014 21:16:06,402
9/19/2014 21:15:24,407
9/19/2014 17:53:05,425
9/19/2014 15:18:14,407
9/19/2014 15:09:22,407
9/19/2014 9:09:46,408
9/19/2014 6:43:38,407
9/19/2014 5:08:56,425
9/19/2014 5:08:14,425
9/19/2014 0:09:23,407
9/18/2014 21:46:51,424
9/18/2014 20:58:03,424
9/18/2014 20:29:15,426
9/18/2014 20:28:35,426
9/18/2014 17:21:49,429
9/18/2014 17:21:06,436
9/18/2014 17:14:17,403
9/18/2014 14:48:45,407
9/18/2014 10:03:51,398
9/18/2014 10:03:11,394
9/18/2014 10:02:30,396
9/18/2014 9:58:26,427
9/18/2014 6:56:49,428
9/18/2014 6:56:08,426
9/18/2014 6:02:08,425
9/18/2014 6:01:27,429
9/18/2014 6:00:46,425
9/17/2014 22:10:32,407
9/17/2014 22:09:51,402
9/17/2014 19:36:07,425
9/17/2014 18:50:26,425
9/17/2014 18:49:45,431
9/17/2014 18:40:18,408
9/17/2014 14:07:45,407
9/17/2014 13:46:39,405
9/17/2014 13:37:44,406
9/17/2014 13:05:31,425
9/17/2014 12:46:29,407
9/17/2014 12:45:48,403
9/17/2014 12:45:06,400
9/17/2014 6:56:12,426
9/17/2014 6:55:31,431
9/17/2014 6:47:58,428
9/17/2014 6:47:17,433
9/17/2014 6:46:36,440
9/17/2014 3:03:10,424
9/17/2014 3:02:29,424
9/16/2014 22:48:11,402
9/16/2014 22:47:31,397
9/16/2014 22:46:48,407
9/16/2014 22:34:33,430
9/16/2014 22:33:53,430
9/16/2014 21:17:26,404
9/16/2014 21:16:46,406
9/16/2014 20:35:06,425
9/16/2014 20:33:42,425
9/16/2014 20:03:34,425
9/16/2014 20:02:53,425
9/16/2014 20:00:50,424
9/16/2014 19:45:52,425
9/16/2014 19:45:10,425
9/16/2014 19:43:47,425
9/16/2014 19:41:04,425
9/16/2014 19:40:22,424
9/16/2014 19:38:19,424
9/16/2014 15:06:52,404
9/16/2014 15:06:13,406
9/16/2014 13:07:18,426
9/16/2014 13:06:36,425
9/16/2014 12:59:52,426
9/16/2014 12:59:11,425
9/16/2014 8:06:24,426
9/16/2014 6:37:42,428
9/16/2014 6:37:02,429
9/15/2014 23:59:42,425
9/15/2014 23:59:02,425
9/15/2014 23:58:22,425
9/15/2014 23:57:41,425
9/15/2014 23:43:58,425
9/15/2014 23:43:17,426
9/15/2014 23:41:55,425
9/15/2014 22:22:40,425
9/15/2014 22:22:00,425
9/15/2014 22:21:19,424
9/15/2014 22:00:13,425
9/15/2014 21:59:33,425
9/15/2014 21:57:31,424
9/15/2014 20:15:27,425
9/15/2014 20:14:45,425
9/15/2014 20:14:06,425
9/15/2014 20:12:02,425
9/15/2014 20:07:55,424
9/15/2014 19:59:41,425
9/15/2014 19:58:59,425
9/15/2014 19:38:37,425
9/15/2014 19:37:56,425
9/15/2014 19:37:14,424
9/15/2014 18:01:32,425
9/15/2014 18:00:51,424
9/15/2014 17:21:14,426
9/15/2014 17:20:33,425
9/15/2014 13:01:53,425
9/15/2014 12:15:31,425
9/15/2014 7:07:51,426
9/15/2014 7:04:27,425
9/15/2014 6:55:38,427
9/15/2014 6:54:56,426
9/15/2014 6:52:08,407
9/15/2014 6:07:56,407
9/15/2014 2:02:03,426
9/15/2014 2:01:23,425
9/15/2014 2:00:42,424
9/14/2014 23:30:24,426
9/14/2014 23:29:42,426
9/14/2014 23:29:01,425
9/14/2014 23:28:20,425
9/14/2014 23:27:41,424
9/14/2014 22:31:52,407
9/14/2014 21:05:37,427
9/14/2014 20:58:03,424
9/14/2014 20:22:31,425
9/14/2014 20:21:50,425
9/14/2014 20:21:08,425
9/14/2014 20:20:27,425
9/14/2014 20:19:46,425
9/14/2014 20:19:05,425
9/14/2014 20:06:11,424
9/14/2014 20:04:50,424
9/14/2014 13:59:11,425
9/14/2014 11:56:45,426
9/14/2014 11:56:03,425
9/14/2014 11:01:24,425
9/14/2014 7:51:22,425
9/14/2014 7:50:40,434
9/14/2014 2:00:06,427
9/14/2014 1:58:45,425
9/13/2014 22:41:11,406
9/13/2014 22:37:07,428
9/13/2014 22:36:25,426
9/13/2014 22:00:58,424
9/13/2014 22:00:18,425
9/13/2014 21:14:51,403
9/13/2014 20:55:46,425
9/13/2014 20:55:05,424
9/13/2014 20:46:54,425
9/13/2014 20:18:24,425
9/13/2014 20:17:41,425
9/13/2014 19:51:52,425
9/13/2014 19:51:11,425
9/13/2014 19:50:30,425
9/13/2014 19:34:06,425
9/13/2014 14:47:02,404
9/13/2014 11:50:19,425
9/13/2014 11:49:37,425
9/13/2014 11:48:57,425
9/13/2014 11:41:24,425
9/13/2014 11:40:43,427
9/13/2014 11:39:23,425
9/13/2014 9:57:45,425
9/13/2014 8:52:09,407
9/13/2014 6:46:42,430
9/13/2014 6:46:00,425
9/13/2014 6:21:31,407
9/12/2014 23:40:03,426
9/12/2014 23:39:23,425
9/12/2014 23:38:42,425
9/12/2014 23:37:20,425
9/12/2014 23:36:38,425
9/12/2014 23:35:57,425
9/12/2014 23:35:16,425
9/12/2014 23:34:35,425
9/12/2014 23:33:55,425
9/12/2014 23:33:14,425
9/12/2014 23:32:33,425
9/12/2014 23:31:11,424
9/12/2014 22:01:10,425
9/12/2014 21:58:28,424
9/12/2014 21:57:47,425
9/12/2014 20:44:50,406
9/12/2014 20:44:10,403
9/12/2014 20:31:07,425
9/12/2014 20:00:17,425
9/12/2014 19:33:48,426
9/12/2014 19:33:06,425
9/12/2014 19:32:26,426
